S. No,Partner Type,Partner Institution,Partner Code,Financial Literacy Initiative,Financial Literacy Initiative Code,Value,Total Single Count
1,Microfinance Institutions,VLBS Laghubitta,45,PGT,1,11935,11935
2,Microfinance Institutions,VLBS Laghubitta,45,Centre Meeting,2,11935,11935
